Date,Symbol,Open,Close,Low,High,Volume
9/20/2024,AAPL,$229.97 ,$228.20 ,$227.62 ,$233.09 ,318679900
9/19/2024,AAPL,$224.99 ,$228.87 ,$224.63 ,$229.82 ,66781320
9/18/2024,AAPL,$217.55 ,$220.69 ,$217.54 ,$222.71 ,59894930
9/17/2024,AAPL,$215.75 ,$216.79 ,$214.50 ,$216.90 ,45519340
9/16/2024,AAPL,$216.54 ,$216.32 ,$213.92 ,$217.22 ,59357430
9/13/2024,AAPL,$223.58 ,$222.50 ,$221.91 ,$224.04 ,36766620
9/12/2024,AAPL,$222.50 ,$222.77 ,$219.82 ,$223.55 ,37498230
9/11/2024,AAPL,$221.46 ,$222.66 ,$217.89 ,$223.09 ,44587070
9/10/2024,AAPL,$218.92 ,$220.11 ,$216.73 ,$221.48 ,51591030
9/9/2024,AAPL,$220.82 ,$220.91 ,$216.71 ,$221.27 ,67179970
9/6/2024,AAPL,$223.95 ,$220.82 ,$219.77 ,$225.24 ,48423010
9/5/2024,AAPL,$221.63 ,$222.38 ,$221.52 ,$225.48 ,36615400
9/4/2024,AAPL,$221.66 ,$220.85 ,$217.48 ,$221.78 ,43840200
9/3/2024,AAPL,$228.55 ,$222.77 ,$221.17 ,$229.00 ,50190570
8/30/2024,AAPL,$230.19 ,$229.00 ,$227.48 ,$230.40 ,52990770
8/29/2024,AAPL,$230.10 ,$229.79 ,$228.88 ,$232.92 ,51906300
8/28/2024,AAPL,$227.92 ,$226.49 ,$225.68 ,$229.86 ,38052170
8/27/2024,AAPL,$226.00 ,$228.03 ,$224.89 ,$228.85 ,35934560
8/26/2024,AAPL,$226.76 ,$227.18 ,$223.89 ,$227.28 ,30602210
8/23/2024,AAPL,$225.66 ,$226.84 ,$224.33 ,$228.22 ,38677250
8/22/2024,AAPL,$227.79 ,$224.53 ,$223.90 ,$228.34 ,43695320
8/21/2024,AAPL,$226.52 ,$226.40 ,$225.05 ,$227.98 ,34765480
8/20/2024,AAPL,$225.77 ,$226.51 ,$225.45 ,$227.17 ,30299030
8/19/2024,AAPL,$225.72 ,$225.89 ,$223.04 ,$225.99 ,40687810
8/16/2024,AAPL,$223.92 ,$226.05 ,$223.65 ,$226.83 ,44340240
8/15/2024,AAPL,$224.60 ,$224.72 ,$222.76 ,$225.35 ,46414010
8/14/2024,AAPL,$220.57 ,$221.72 ,$219.70 ,$223.03 ,41960570
8/13/2024,AAPL,$219.01 ,$221.27 ,$219.01 ,$221.89 ,44155330
8/12/2024,AAPL,$216.07 ,$217.53 ,$215.60 ,$219.51 ,38028090
8/9/2024,AAPL,$212.10 ,$216.24 ,$211.97 ,$216.78 ,42201650
8/8/2024,AAPL,$213.11 ,$213.31 ,$208.83 ,$214.20 ,47161150
8/7/2024,AAPL,$206.90 ,$209.82 ,$206.39 ,$213.64 ,63516420
8/6/2024,AAPL,$205.30 ,$207.23 ,$201.07 ,$209.99 ,69660490
8/5/2024,AAPL,$199.09 ,$209.27 ,$196.00 ,$213.50 ,119548600
8/2/2024,AAPL,$219.15 ,$219.86 ,$217.71 ,$225.60 ,105568600
8/1/2024,AAPL,$224.37 ,$218.36 ,$217.02 ,$224.48 ,62501000
7/31/2024,AAPL,$221.44 ,$222.08 ,$220.63 ,$223.82 ,50036260
7/30/2024,AAPL,$219.19 ,$218.80 ,$216.12 ,$220.33 ,41643840
7/29/2024,AAPL,$216.96 ,$218.24 ,$215.75 ,$219.30 ,36311780
